                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     659                                     1285                  1.6000000000000000E+001                  2.0000000000000000E-002                  1.0649464100517379E+007                  1.0024234124048125E+001                  3.5643528329476949E+003                  6.1102028385970021E+004                  6.4912042428610994E+002                  4.8553392061598757E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9282277475017055E-016                  9.8232714646688426E-004                  1.9685153139499784E-027                  4.4643548774014363E-001                  4.9870893989852699E-001                  1.3978162310031506E+001                 -1.5223294962234184E-005                  6.3514639055433539E+000                  2.0630949569509370E-004                  5.5403348420039418E+000                  3.2684190491155762E-001                  5.1785204348040043E-002                  1.0105943399224095E+000                  5.8008855650134572E-001                  4.3945911467184118E+000                  1.7000097803553449E+000                  7.8763525058612349E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3964981228501147E+001                  6.4374583787213601E+002                  1.3962544772503588E+001                  6.4286244718325725E+002                  4.4289058010422632E+007                  1.1563752696723493E+002                  2.2876756597561841E+006                  3.8605144340368807E+006                  1.1690293188812766E-006                  8.8586757863543444E+003                  3.9439263884638287E+006                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3607738533335112E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.4.1"                                 "CRMATH"                               "20201030" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                    pressure_scale_height                                     prad                                     pgas                                       mu                                   gamma1                                   gamma3                                   csound                                  opacity                                     logL                                 log_Lrad                                 log_Ledd                        mlt_mixing_length                          mlt_mixing_type                                 conv_vel                                    gradT                              mixing_type                                      tau 
                                       1                  1.3978162310031506E+001                  2.8123252742292673E+000                  3.5519806880546700E+000                 -8.7773202596447923E+000                  2.5696371822260722E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129486220877939E+000                  4.0705630100720441E-001                  3.7081791489744757E+002                  1.3272760462959099E+000                  1.6216722485209816E+000                  1.6158248937531310E+000                  6.0042706904937816E+005                  1.6347702038776852E-003                  4.7860556276273662E+000                  4.7860556276273662E+000                  8.0465720527235813E+000                  4.8898839640013257E+011                                        0                  0.0000000000000000E+000                  1.2514291979472708E-001                                        0                  6.6666666666666663E-001 
                                       2                  1.3978162310024516E+001                  2.8123252742261462E+000                  3.5519806882548153E+000                 -8.7773202582456680E+000                  2.5696371838253995E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129486236584766E+000                  4.0705630175757346E-001                  3.7081791626376565E+002                  1.3272760462930466E+000                  1.6216722487115023E+000                  1.6158248939635211E+000                  6.0042706922304293E+005                  1.6347702133059059E-003                  4.7860556276273662E+000                  4.7860556276273662E+000                  8.0465720527235813E+000                  4.8898839643398328E+011                                        0                  0.0000000000000000E+000                  1.2514291996638444E-001                                        0                  6.6666666755280457E-001 
                                       3                  1.3978162309992735E+001                  2.8123252742119571E+000                  3.5519806888761458E+000                 -8.7773202539022090E+000                  2.5696371887903706E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129486284642493E+000                  4.0705630408702187E-001                  3.7081792050537985E+002                  1.3272760462841577E+000                  1.6216722493029070E+000                  1.6158248946166407E+000                  6.0042706976215821E+005                  1.6347702425748760E-003                  4.7860556276273680E+000                  4.7860556276273680E+000                  8.0465720486162073E+000                  4.8898839677270697E+011                                        0                  0.0000000000000000E+000                  1.2514292152727513E-001                                        0                  6.6666667158239779E-001 
                                       4                  1.3978162309904155E+001                  2.8123252741724074E+000                  3.5519806913266261E+000                 -8.7773202367719492E+000                  2.5696372083718231E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129486476740537E+000                  4.0705631327418407E-001                  3.7081793723397004E+002                  1.3272760462491016E+000                  1.6216722516353950E+000                  1.6158248971925007E+000                  6.0042707188839174E+005                  1.6347703580094448E-003                  4.7860556276273725E+000                  4.7860556276273725E+000                  8.0465720371685929E+000                  4.8898839771674982E+011                                        0                  0.0000000000000000E+000                  1.2514292587762327E-001                                        0                  6.6666668281326003E-001 
                                       5                  1.3978162309518039E+001                  2.8123252740000138E+000                  3.5519806984395959E+000                 -8.7773201870482289E+000                  2.5696372652105817E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129487025347155E+000                  4.0705633994161294E-001                  3.7081798579177689E+002                  1.3272760461473447E+000                  1.6216722584058836E+000                  1.6158249046694184E+000                  6.0042707806017692E+005                  1.6347706930795343E-003                  4.7860556276273929E+000                  4.7860556276273929E+000                  8.0465719872685728E+000                  4.8898840183182263E+011                                        0                  0.0000000000000000E+000                  1.2514294484073019E-001                                        0                  6.6666673176841895E-001 
                                       6                  1.3978162308526267E+001                  2.8123252735572004E+000                  3.5519807138120938E+000                 -8.7773200795857402E+000                  2.5696373880500385E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129488200024435E+000                  4.0705639757506978E-001                  3.7081809073453110E+002                  1.3272760459274282E+000                  1.6216722730382114E+000                  1.6158249208284672E+000                  6.0042709139859315E+005                  1.6347714172306467E-003                  4.7860556276274435E+000                  4.7860556276274435E+000                  8.0465718590957884E+000                  4.8898841240175909E+011                                        0                  0.0000000000000000E+000                  1.2514299354922440E-001                                        0                  6.6666685751427734E-001 
                                       7                  1.3978162306540158E+001                  2.8123252726704329E+000                  3.5519807343175867E+000                 -8.7773199362408256E+000                  2.5696375519064087E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129489720700744E+000                  4.0705647445279514E-001                  3.7081823071841677E+002                  1.3272760456340797E+000                  1.6216722925563831E+000                  1.6158249423831514E+000                  6.0042710919081024E+005                  1.6347723831814714E-003                  4.7860556276275465E+000                  4.7860556276275465E+000                  8.0465716024190108E+000                  4.8898843356895929E+011                                        0                  0.0000000000000000E+000                  1.2514309109211313E-001                                        0                  6.6666710933103823E-001 
                                       8                  1.3978162304554051E+001                  2.8123252717836649E+000                  3.5519807650758373E+000                 -8.7773197212235825E+000                  2.5696377976908478E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129492070950006E+000                  4.0705658976945097E-001                  3.7081844069424494E+002                  1.3272760451940573E+000                  1.6216723218336648E+000                  1.6158249747151947E+000                  6.0042713587914943E+005                  1.6347738321086434E-003                  4.7860556276276496E+000                  4.7860556276276496E+000                  8.0465713457422385E+000                  4.8898845473617206E+011                                        0                  0.0000000000000000E+000                  1.2514318863505147E-001                                        0                  6.6666736114794889E-001 
                                       9                  1.3978162300581831E+001                  2.8123252700101311E+000                  3.5519808172959024E+000                 -8.7773193561770064E+000                  2.5696382149726764E+000                  6.7285663539579466E-001                  3.0710618359174124E-001                  2.0037181012464100E-002                  3.5129496019254374E+000                  4.0705678554929686E-001                  3.7081879718208700E+002                  1.3272760444470044E+000                  1.6216723715394012E+000                  1.6158250296071830E+000                  6.0042718118949211E+005                  1.6347762920371793E-003                  4.7860556276278556E+000                  4.7860556276278556E+000                  8.0465708323887277E+000                  4.8898849707063684E+011                                        0                  0.0000000000000000E+000                  1.2514338372108036E-001                                        0                  6.6666786478221973E-001 
